participant_id	array_call_rate	het_rate	sex_check_pass	ancestry_pc1	ancestry_pc2	kinship_flag
OFH100045	0.9859	0.221	True	-0.0157	-0.0199	False
OFH100046	0.9904	0.297	True	0.0188	0.0154	False
OFH100047	0.9919	0.241	True	0.0018	-0.0159	False
OFH100048	0.9917	0.318	True	0.006	0.0075	False
OFH100049	0.9873	0.192	True	0.0138	-0.0082	False
OFH100050	0.9895	0.332	True	-0.017	-0.0132	False
OFH100051	0.9903	0.297	True	0.0019	0.0159	False
OFH100052	0.9863	0.275	True	0.0045	-0.0007	False
OFH100053	0.9854	0.331	True	-0.0134	0.0156	False
OFH100054	0.9872	0.196	True	-0.0118	-0.0124	False
OFH100055	0.9948	0.296	True	0.0092	-0.0094	False
OFH100056	0.9889	0.218	True	-0.018	0.0029	False
OFH100057	0.9968	0.205	True	-0.0056	-0.0029	False
OFH100058	0.9891	0.286	True	0.004	-0.012	False
OFH100059	0.9854	0.207	True	-0.0083	-0.0167	False
OFH100060	0.9968	0.229	True	-0.0041	-0.0004	False
OFH100061	0.9943	0.195	True	0.0018	-0.0126	False
OFH100062	0.9974	0.239	True	-0.0022	-0.0095	False
OFH100063	0.9915	0.216	True	-0.0093	-0.0175	False
OFH100064	0.9955	0.287	True	-0.0166	-0.0062	False
OFH100065	0.9926	0.335	True	0.0036	0.0021	False
OFH100066	0.9968	0.311	True	-0.0033	0.0014	False
OFH100067	0.9971	0.256	True	0.0153	-0.0009	False
OFH100068	0.9861	0.324	True	0.0086	0.0001	False
OFH100069	0.9976	0.308	True	0.0071	0.0048	False
OFH100070	0.9867	0.301	True	-0.0131	0.0194	False
OFH100071	0.9986	0.309	True	-0.015	-0.0031	False
OFH100072	0.9988	0.25	True	0.0199	0.0051	False
OFH100073	0.9967	0.221	True	0.0164	0.0166	False
OFH100074	0.9859	0.242	True	-0.0041	-0.007	False
OFH100075	0.9889	0.253	True	0.0149	0.0115	False
OFH100076	0.9937	0.264	True	-0.0032	-0.0034	False
OFH100077	0.9871	0.274	True	0.0103	0.0176	False
OFH100078	0.9979	0.27	True	-0.016	-0.0086	False
OFH100079	0.9925	0.235	True	-0.0036	-0.0047	False
OFH100080	0.9918	0.277	True	-0.0185	-0.009	False
OFH100081	0.987	0.277	True	0.0077	-0.0184	False
OFH100082	0.9975	0.233	True	-0.0105	0.0098	False
OFH100083	0.9979	0.324	True	-0.0192	0.0127	False
OFH100084	0.9892	0.225	True	-0.0003	0.0078	False
OFH100085	0.9864	0.319	True	-0.0146	0.019	False
OFH100086	0.9912	0.312	True	-0.0092	-0.0033	False
OFH100087	0.994	0.21	True	-0.0115	0.013	False
OFH100088	0.9954	0.302	True	0.0147	0.0128	False
OFH100089	0.9922	0.205	True	-0.0076	0.0003	False
OFH100090	0.9869	0.316	True	0.0152	-0.0188	False
OFH100091	0.9877	0.313	True	0.0135	-0.01	False
OFH100092	0.9914	0.327	True	0.0082	-0.009	False
OFH100093	0.9965	0.261	True	0.0054	-0.015	False
OFH100094	0.9854	0.24	True	0.0038	-0.0129	False
OFH100095	0.9972	0.274	True	-0.006	-0.0135	False
OFH100096	0.9975	0.3	True	0.0076	-0.0086	False
OFH100097	0.9904	0.206	True	0.0029	0.0186	False
OFH100098	0.997	0.284	True	0.0071	-0.0092	False
OFH100099	0.9907	0.183	True	0.0112	0.0107	False
OFH100100	0.9851	0.326	True	0.0059	0.004	False
OFH100101	0.9851	0.22	True	0.0122	-0.0078	False
OFH100102	0.9985	0.283	True	-0.003	-0.0049	False
OFH100103	0.9899	0.22	True	-0.0013	0.0071	False
OFH100104	0.9965	0.244	True	-0.0159	0.0005	False
OFH100105	0.9943	0.315	True	-0.005	0.0059	False
OFH100106	0.9935	0.228	True	-0.0157	-0.0174	False
OFH100107	0.9988	0.282	True	0.0145	-0.0096	False
OFH100108	0.995	0.323	True	-0.008	-0.014	False
OFH100109	0.9957	0.324	True	0.0122	0.0121	False
OFH100110	0.9934	0.286	True	0.0072	0.0089	False
OFH100111	0.9942	0.34	True	-0.0096	-0.0033	False
OFH100112	0.9904	0.186	True	0.0083	0.0029	False
OFH100113	0.9877	0.296	True	-0.0111	0.0014	False
OFH100114	0.996	0.325	False	0.0069	0.0003	False
OFH100115	0.9968	0.315	True	0.0151	-0.0128	False
OFH100116	0.9864	0.2	True	-0.0097	0.0123	False
OFH100117	0.9957	0.209	True	0.0072	-0.0066	False
OFH100118	0.9863	0.237	True	0.0098	-0.0077	False
OFH100119	0.996	0.233	True	-0.0096	-0.0082	True
OFH100120	0.9969	0.255	True	0.0147	0.0033	False
OFH100121	0.9982	0.191	True	0.0156	0.0	False
OFH100122	0.9971	0.241	True	-0.0081	-0.0178	False
OFH100123	0.997	0.202	True	-0.012	-0.0036	False
OFH100124	0.993	0.325	True	-0.0017	-0.0073	False
OFH100125	0.995	0.305	True	-0.0005	0.0052	True
OFH100126	0.9875	0.282	True	-0.0198	-0.0091	False
OFH100127	0.9957	0.207	True	0.0106	-0.0004	False
OFH100128	0.9957	0.194	True	0.0046	0.0053	False
OFH100129	0.9906	0.334	True	-0.0047	-0.0185	False
OFH100130	0.9878	0.24	True	-0.0194	-0.0071	False
OFH100131	0.9967	0.21	True	0.0071	0.0051	False
OFH100132	0.9885	0.291	True	-0.0062	-0.0148	False
OFH100133	0.9904	0.274	True	-0.0133	0.013	False
OFH100134	0.9892	0.227	True	0.0091	0.0039	False
OFH100135	0.9897	0.322	True	0.0198	-0.0063	False
OFH100136	0.9976	0.237	True	-0.0125	0.0179	False
OFH100137	0.9979	0.245	True	-0.0109	0.0091	False
OFH100138	0.9868	0.297	True	0.0036	-0.0132	False
OFH100139	0.9901	0.284	True	-0.0185	0.0151	False
OFH100140	0.9886	0.266	True	-0.0181	0.0198	False
OFH100141	0.9943	0.285	True	-0.0192	0.0076	False
OFH100142	0.9908	0.241	True	0.0019	-0.001	False
OFH100143	0.9871	0.291	True	0.0052	-0.008	False
OFH100144	0.9943	0.286	True	-0.0092	0.0042	False
OFH100145	0.9869	0.313	True	-0.0158	0.0088	False
OFH100146	0.9866	0.198	True	-0.0157	-0.0121	False
OFH100147	0.9878	0.222	True	0.0009	-0.0119	False
OFH100148	0.9948	0.227	True	-0.0184	-0.0001	False
OFH100149	0.9879	0.329	True	-0.0068	-0.0199	False
OFH100150	0.9944	0.325	True	0.0134	0.0068	False
OFH100151	0.9871	0.194	True	0.0005	0.0089	False
OFH100152	0.9864	0.221	True	-0.0108	0.0195	False
OFH100153	0.9891	0.254	True	-0.016	-0.013	False
OFH100154	0.9856	0.226	True	0.0121	-0.0075	False
OFH100155	0.9953	0.195	True	0.0103	-0.0182	False
OFH100156	0.9969	0.286	True	-0.0132	-0.0057	False
OFH100157	0.9911	0.279	True	0.0151	-0.0163	False
OFH100158	0.9964	0.209	True	-0.004	0.0185	False
OFH100159	0.9888	0.242	True	0.014	0.012	False
OFH100160	0.9941	0.308	True	-0.0155	0.0078	False
OFH100161	0.9858	0.331	True	-0.0136	-0.0034	False
OFH100162	0.9933	0.308	True	0.0071	-0.0127	False
OFH100163	0.9903	0.237	True	-0.0188	0.0074	False
OFH100164	0.9967	0.336	True	-0.0148	0.0168	False
OFH100165	0.9866	0.246	True	-0.0182	-0.0095	False
OFH100166	0.9894	0.293	True	0.0071	0.0107	False
OFH100167	0.9931	0.27	True	0.0191	0.0068	False
OFH100168	0.9897	0.264	True	0.008	-0.0162	False
OFH100169	0.9943	0.22	True	-0.0062	0.0071	False
OFH100170	0.9904	0.314	True	0.0023	0.0195	False
OFH100171	0.9858	0.283	True	-0.0137	0.014	False
OFH100172	0.9969	0.319	True	-0.017	-0.0003	False
OFH100173	0.9884	0.335	True	-0.018	-0.0111	False
OFH100174	0.994	0.245	True	-0.0106	-0.0016	False
OFH100175	0.9962	0.252	True	0.0143	-0.0021	False
OFH100176	0.9867	0.26	True	0.0061	-0.0159	False
OFH100177	0.9908	0.269	True	-0.02	-0.0164	False
OFH100178	0.9935	0.279	True	-0.0078	0.0003	False
OFH100179	0.9879	0.287	True	0.018	-0.0055	False
OFH100180	0.9858	0.216	True	-0.0018	0.0024	False
OFH100181	0.9937	0.256	True	0.0063	0.0086	False
OFH100182	0.9866	0.301	True	-0.0111	-0.0063	False
OFH100183	0.9966	0.334	True	-0.0083	0.0009	False
OFH100184	0.9948	0.187	True	-0.0134	-0.0144	False
OFH100185	0.995	0.295	True	-0.0157	0.0044	False
OFH100186	0.9876	0.329	True	-0.0043	-0.0017	False
OFH100187	0.9959	0.295	True	-0.0157	-0.0034	False
OFH100188	0.998	0.314	True	0.0036	0.0109	False
OFH100189	0.9913	0.285	True	0.0182	-0.0146	False
OFH100190	0.992	0.265	True	-0.0181	0.0174	False
OFH100191	0.9967	0.257	True	0.0003	0.0168	False
OFH100192	0.9875	0.273	True	0.0092	-0.0149	False
OFH100193	0.9904	0.276	True	0.0153	0.0002	False
OFH100194	0.9904	0.337	True	0.0166	0.0105	False
OFH100195	0.9888	0.334	True	0.0188	-0.0019	False
OFH100196	0.9869	0.246	True	0.008	0.0099	False
OFH100197	0.9892	0.292	True	0.0144	0.0085	False
OFH100198	0.9981	0.281	True	-0.012	0.005	False
OFH100199	0.9891	0.235	True	0.0069	0.0193	False
OFH100200	0.9941	0.333	True	0.0002	0.0078	False
OFH100201	0.9895	0.198	True	-0.0059	-0.0008	False
OFH100202	0.993	0.287	True	-0.0033	0.0099	False
OFH100203	0.9968	0.226	True	0.0139	0.0123	False
OFH100204	0.9923	0.184	True	-0.0142	0.0068	False
OFH100205	0.9878	0.3	True	-0.0136	-0.0085	False
OFH100206	0.9885	0.314	True	0.0076	-0.0082	False
OFH100207	0.9956	0.185	True	0.0126	-0.0159	False
OFH100208	0.9972	0.298	True	0.0146	0.0097	False
OFH100209	0.9929	0.218	True	0.0114	0.012	False
OFH100210	0.989	0.286	True	0.0171	-0.0045	False
OFH100211	0.9984	0.336	True	-0.0075	0.0021	False
OFH100212	0.9852	0.22	True	0.0048	0.0112	False
OFH100213	0.9972	0.313	True	0.0165	0.0082	False
OFH100214	0.9941	0.301	True	0.0019	0.0041	False
OFH100215	0.9959	0.334	True	-0.0082	-0.0129	False
OFH100216	0.9946	0.21	True	-0.013	0.0006	False
OFH100217	0.9903	0.249	True	0.0023	-0.0148	False
OFH100218	0.9932	0.221	True	-0.0068	0.0084	False
OFH100219	0.9872	0.205	True	-0.0071	-0.018	False
OFH100220	0.9981	0.278	True	0.0065	-0.0004	False
OFH100221	0.993	0.237	True	0.0114	-0.0073	False
OFH100222	0.9881	0.209	True	-0.0173	0.0002	False
OFH100223	0.9908	0.266	True	-0.0163	-0.0112	False
OFH100224	0.988	0.233	True	-0.0056	-0.0113	False
OFH100225	0.9955	0.265	True	0.0199	0.0129	False
OFH100226	0.9987	0.181	True	0.0068	-0.0022	False
OFH100227	0.9977	0.278	True	0.0048	0.0184	False
OFH100228	0.9946	0.231	True	0.0166	0.0178	False
OFH100229	0.9904	0.266	True	-0.0087	0.0165	False
OFH100230	0.9965	0.24	True	0.0121	-0.0022	False
OFH100231	0.9856	0.324	True	-0.0123	0.0006	False
OFH100232	0.9983	0.207	True	0.0183	0.0015	False
OFH100233	0.9851	0.19	True	0.0068	0.0109	False
OFH100234	0.9971	0.248	True	-0.0158	0.0015	False
OFH100235	0.9948	0.336	True	0.011	0.0059	False
OFH100236	0.9982	0.3	True	-0.0138	-0.0016	False
OFH100237	0.9896	0.194	True	-0.0178	0.0118	False
OFH100238	0.9928	0.272	True	-0.0109	-0.0097	False
OFH100239	0.9904	0.281	True	-0.0027	-0.0193	False
OFH100240	0.9944	0.266	True	0.0057	0.0047	False
OFH100241	0.9956	0.274	True	0.008	-0.0171	False
OFH100242	0.998	0.197	True	0.0115	-0.0079	False
OFH100243	0.9862	0.302	True	-0.0025	-0.0042	False
OFH100244	0.9943	0.256	True	0.0013	-0.0145	False
OFH100245	0.9905	0.308	True	0.0018	0.0184	False
OFH100246	0.987	0.288	True	0.0166	0.0118	False
OFH100247	0.9952	0.24	True	0.018	0.0021	False
OFH100248	0.9928	0.2	True	-0.0198	0.0039	False
OFH100249	0.9925	0.332	True	-0.0078	0.0099	False
OFH100250	0.9976	0.235	True	-0.0035	0.0058	False
OFH100251	0.9922	0.206	True	-0.0112	0.0134	False
OFH100252	0.9877	0.209	True	0.012	0.0141	False
OFH100253	0.9969	0.329	True	0.0198	-0.0015	False
OFH100254	0.9927	0.227	True	-0.0173	-0.0161	False
OFH100255	0.9952	0.258	True	-0.0068	-0.0149	False
OFH100256	0.9942	0.196	True	0.0048	0.016	False
OFH100257	0.9894	0.252	True	0.0047	-0.0078	False
OFH100258	0.9932	0.27	True	-0.0054	-0.0073	False
OFH100259	0.991	0.181	True	-0.0102	-0.0111	False
OFH100260	0.9954	0.25	True	0.0136	-0.0146	False
OFH100261	0.9953	0.32	True	-0.0015	-0.0057	False
OFH100262	0.9893	0.268	True	-0.013	0.0043	False
OFH100263	0.9968	0.317	True	-0.0144	0.0015	False
OFH100264	0.9887	0.322	True	-0.0169	-0.017	False
OFH100265	0.9853	0.261	True	-0.0188	0.0033	False
OFH100266	0.9907	0.274	True	0.0163	0.0021	False
OFH100267	0.9926	0.34	True	-0.0011	0.011	False
OFH100268	0.9901	0.216	True	0.0109	0.0093	False
OFH100269	0.9891	0.254	True	0.0004	-0.0041	False
OFH100270	0.992	0.286	True	0.0139	0.0123	False
OFH100271	0.9936	0.207	True	0.0006	-0.0022	False
OFH100272	0.9875	0.332	True	0.0064	0.0187	False
OFH100273	0.9953	0.257	True	-0.0056	-0.0112	False
OFH100274	0.9918	0.19	True	-0.0052	-0.0183	False
OFH100275	0.9879	0.325	True	-0.0055	-0.0012	False
OFH100276	0.9914	0.187	True	0.0192	-0.007	False
OFH100277	0.9949	0.263	True	0.0132	0.0134	False
OFH100278	0.9887	0.267	True	-0.013	0.0061	False
OFH100279	0.9901	0.285	True	0.0134	0.0007	False
OFH100280	0.9903	0.325	True	0.0007	-0.0059	False
OFH100281	0.9971	0.258	True	-0.0007	0.0042	False
OFH100282	0.992	0.202	True	-0.0134	-0.0169	False
OFH100283	0.994	0.214	True	-0.0125	-0.0055	False
OFH100284	0.995	0.199	True	-0.0108	0.0124	False
OFH100285	0.9951	0.257	True	-0.0008	-0.0116	False
OFH100286	0.9873	0.313	True	-0.0191	-0.0183	False
OFH100287	0.993	0.206	True	0.0052	-0.0184	False
OFH100288	0.993	0.189	True	-0.0097	-0.0128	False
OFH100289	0.9984	0.276	True	0.0025	-0.0193	False
OFH100290	0.9951	0.286	True	-0.0087	-0.0166	False
OFH100291	0.9913	0.339	True	0.0147	-0.0132	False
OFH100292	0.9966	0.276	True	0.0118	0.0128	False
OFH100293	0.9875	0.286	True	-0.0094	0.009	False
OFH100294	0.9898	0.253	True	0.0036	-0.0108	False
OFH100295	0.9904	0.197	True	-0.0119	0.0144	False
OFH100296	0.9921	0.247	True	-0.014	-0.0161	False
OFH100297	0.9917	0.278	True	-0.0184	0.0114	False
OFH100298	0.992	0.199	True	-0.0007	-0.0148	False
OFH100299	0.9934	0.312	True	0.0159	0.011	False
OFH100300	0.9941	0.264	True	-0.0052	-0.0183	False
OFH100301	0.9924	0.217	True	0.0121	0.0116	False
OFH100302	0.9903	0.274	True	0.0097	0.0105	False
OFH100303	0.9948	0.196	True	-0.0146	-0.0009	False
OFH100304	0.9883	0.317	True	-0.0087	0.0151	False
OFH100305	0.9907	0.21	True	0.0084	0.0116	False
OFH100306	0.9931	0.199	True	-0.0197	0.0062	False
OFH100307	0.9946	0.231	True	-0.0055	-0.0138	False
OFH100308	0.9941	0.221	True	0.0142	-0.0031	False
OFH100309	0.9901	0.224	True	0.0072	0.0102	False
OFH100310	0.9908	0.305	True	-0.0007	-0.0052	False
OFH100311	0.9928	0.221	True	-0.0077	-0.0062	False
OFH100312	0.9949	0.298	True	0.0142	0.0064	False
OFH100313	0.9955	0.251	True	0.008	-0.0135	False
OFH100314	0.988	0.244	True	-0.0065	0.002	False
OFH100315	0.9948	0.293	True	-0.0136	0.0186	False
OFH100316	0.9851	0.195	True	-0.0142	0.017	False
OFH100317	0.9911	0.19	True	-0.0111	-0.0168	False
OFH100318	0.9855	0.241	True	0.0194	0.0046	False
OFH100319	0.9923	0.294	True	0.0039	0.0178	False
OFH100320	0.9965	0.282	True	-0.0024	-0.0119	False
OFH100321	0.9942	0.309	True	-0.0086	-0.0187	False
OFH100322	0.9934	0.263	True	-0.0107	-0.0132	False
OFH100323	0.9855	0.218	True	-0.02	-0.0137	False
OFH100324	0.999	0.305	True	-0.0059	-0.0042	False
OFH100325	0.9932	0.263	True	0.0095	-0.0173	False
OFH100326	0.9863	0.226	True	0.0132	0.0166	False
OFH100327	0.9899	0.334	True	-0.0089	0.0043	False
OFH100328	0.9877	0.329	True	0.003	-0.0096	False
OFH100329	0.9907	0.197	True	-0.0171	-0.0082	False
OFH100330	0.9983	0.308	True	0.0183	0.015	False
OFH100331	0.9964	0.272	True	0.0078	0.0186	False
OFH100332	0.9929	0.303	True	0.0103	0.0184	False
OFH100333	0.9914	0.254	True	0.0035	-0.0189	False
OFH100334	0.9866	0.191	True	0.0053	0.0198	False
OFH100335	0.9945	0.217	True	-0.0074	0.0182	False
OFH100336	0.9922	0.182	True	0.0133	-0.0101	False
OFH100337	0.9863	0.288	True	0.0128	-0.017	False
OFH100338	0.998	0.256	True	-0.0059	0.0158	False
OFH100339	0.9888	0.332	True	0.0073	0.0164	False
OFH100340	0.992	0.212	True	0.0094	0.0149	False
OFH100341	0.9879	0.212	True	-0.01	0.0047	False
OFH100342	0.9872	0.197	True	0.0168	0.007	False
OFH100343	0.9943	0.278	True	0.0106	0.0017	False
OFH100344	0.9856	0.257	True	0.0048	-0.0003	False
OFH100345	0.9988	0.324	True	0.0148	-0.0004	False
OFH100346	0.9988	0.327	True	-0.0088	-0.0111	False
OFH100347	0.9931	0.189	True	0.012	-0.0009	False
OFH100348	0.9926	0.26	True	-0.0043	0.0075	False
OFH100349	0.9874	0.336	True	0.0079	-0.0016	False
OFH100350	0.9946	0.182	True	-0.0116	0.0032	False
OFH100351	0.9896	0.278	True	-0.0096	0.0019	False
OFH100352	0.9883	0.255	True	0.0045	-0.0054	False
OFH100353	0.992	0.214	True	0.008	-0.0051	False
OFH100354	0.997	0.225	True	-0.0128	-0.0148	False
OFH100355	0.9931	0.217	True	-0.016	-0.0092	False
OFH100356	0.9883	0.249	True	-0.0048	-0.0142	False
OFH100357	0.9984	0.204	True	0.0122	-0.0129	False
OFH100358	0.992	0.339	True	0.014	0.0007	False
OFH100359	0.9951	0.306	True	-0.008	0.0025	False
OFH100360	0.9929	0.244	True	0.0076	-0.0176	False
OFH100361	0.9964	0.256	True	0.0052	-0.002	False
OFH100362	0.9897	0.238	True	0.0024	0.0173	False
OFH100363	0.9886	0.183	True	-0.0152	0.0147	False
OFH100364	0.9985	0.212	True	0.003	0.006	False
OFH100365	0.9874	0.305	True	-0.0058	0.0069	False
OFH100366	0.9918	0.298	True	0.0156	-0.0048	False
OFH100367	0.989	0.281	True	-0.0142	-0.0133	False
OFH100368	0.9963	0.234	True	0.0053	0.0029	False
OFH100369	0.9969	0.191	True	-0.0135	-0.0109	False
OFH100370	0.9894	0.227	True	-0.0093	0.0058	False
OFH100371	0.9888	0.251	True	0.0145	-0.0055	False
OFH100372	0.9932	0.334	True	-0.0034	-0.0126	False
OFH100373	0.9853	0.296	True	0.0065	0.0176	False
OFH100374	0.9948	0.193	True	-0.0133	-0.0159	False
OFH100375	0.9859	0.321	True	0.0019	-0.0189	False
OFH100376	0.9906	0.302	True	-0.0167	-0.0095	False
OFH100377	0.9872	0.285	True	0.0154	-0.0076	False
OFH100378	0.9885	0.225	True	0.0051	-0.0147	False
OFH100379	0.9967	0.185	True	0.0065	0.0144	False
OFH100380	0.9896	0.256	True	0.019	0.0016	False
OFH100381	0.9888	0.251	True	0.0188	0.0079	False
OFH100382	0.9875	0.276	True	0.0052	0.0054	False
OFH100383	0.9929	0.264	True	0.0056	-0.0076	False
OFH100384	0.9899	0.266	True	0.0122	-0.0023	False
OFH100385	0.9901	0.222	True	-0.0079	-0.02	False
OFH100386	0.9964	0.316	True	-0.0062	-0.0012	False
OFH100387	0.9851	0.328	True	0.0179	-0.0009	False
OFH100388	0.9851	0.249	True	-0.0083	-0.0108	False
OFH100389	0.9851	0.24	True	-0.0035	0.0024	False
OFH100390	0.9905	0.206	True	0.0095	-0.0044	False
OFH100391	0.9903	0.222	True	-0.0031	-0.0104	False
OFH100392	0.9957	0.326	True	0.0123	0.0074	False
OFH100393	0.989	0.299	True	0.0124	-0.0035	False
OFH100394	0.9969	0.209	True	-0.0084	0.0055	False
OFH100395	0.9936	0.224	True	0.0049	-0.0125	False
OFH100396	0.9853	0.188	True	0.0014	-0.0126	False
OFH100397	0.9864	0.223	True	0.0086	0.0091	False
OFH100398	0.9883	0.204	True	-0.0003	-0.0063	False
OFH100399	0.9894	0.308	True	0.0199	-0.0015	False
OFH100400	0.9961	0.233	True	0.0137	0.0181	False
OFH100401	0.9858	0.304	True	-0.0171	-0.0012	False
OFH100402	0.9877	0.315	True	0.0127	0.0131	False
OFH100403	0.9867	0.303	True	-0.01	0.0108	False
OFH100404	0.9912	0.298	True	-0.0187	-0.0016	False
OFH100405	0.9958	0.263	True	0.0193	-0.0011	False
OFH100406	0.9945	0.23	True	-0.0071	0.0052	False
OFH100407	0.9856	0.33	True	0.0008	-0.0099	False
OFH100408	0.9939	0.212	True	0.0155	0.0145	False
OFH100409	0.988	0.198	True	0.0053	-0.007	False
OFH100410	0.9873	0.224	True	-0.0152	0.0116	False
OFH100411	0.9851	0.187	True	0.0113	-0.001	False
OFH100412	0.9933	0.239	True	-0.0164	-0.0137	False
OFH100413	0.9863	0.279	True	0.0172	0.0199	False
OFH100414	0.9938	0.19	True	0.0058	0.0081	False
OFH100415	0.9961	0.2	True	-0.0107	0.0193	False
OFH100416	0.996	0.301	True	0.0122	-0.0025	False
OFH100417	0.9877	0.29	True	-0.0057	-0.0146	False
OFH100418	0.9976	0.258	True	-0.0025	-0.0082	False
OFH100419	0.9948	0.21	True	-0.0125	-0.0061	False
OFH100420	0.9953	0.224	True	0.0133	0.0166	False
OFH100421	0.9928	0.191	True	-0.0138	-0.0082	False
OFH100422	0.9887	0.239	True	-0.02	0.0055	False
OFH100423	0.9903	0.21	True	-0.0193	0.0143	False
OFH100424	0.9959	0.218	True	0.0088	0.0063	False
OFH100425	0.9925	0.242	True	0.001	-0.0001	False
OFH100426	0.9927	0.278	True	-0.0071	0.0056	False
OFH100427	0.9865	0.264	True	-0.0173	0.0134	False
OFH100428	0.9868	0.32	True	-0.0119	-0.0006	False
OFH100429	0.9864	0.271	True	0.0135	0.0063	False
OFH100430	0.9924	0.292	True	-0.0098	-0.0053	False
OFH100431	0.9935	0.191	True	0.0172	-0.0117	False
OFH100432	0.9919	0.322	True	-0.0168	0.012	False
OFH100433	0.9858	0.269	True	0.0175	-0.0034	False
OFH100434	0.9902	0.293	True	0.0129	-0.0094	False
OFH100435	0.9856	0.191	True	-0.0078	0.0178	False
OFH100436	0.9984	0.196	True	0.009	0.0013	False
OFH100437	0.9877	0.264	True	-0.01	0.005	False
OFH100438	0.9875	0.3	True	-0.0034	-0.0158	False
OFH100439	0.9939	0.237	True	-0.0017	0.0066	False
OFH100440	0.9974	0.207	True	-0.0128	-0.0039	False
OFH100441	0.9897	0.205	True	0.0199	-0.0023	False
OFH100442	0.9899	0.23	True	0.0197	-0.007	False
OFH100443	0.9902	0.302	True	-0.0028	0.009	False
OFH100444	0.9935	0.27	True	-0.0114	0.0106	False
OFH100445	0.998	0.221	True	0.0185	-0.0021	False
OFH100446	0.9906	0.296	True	0.0193	0.0038	False
OFH100447	0.9922	0.339	True	-0.0079	-0.008	False
OFH100448	0.9881	0.317	True	-0.0191	0.0129	False
OFH100449	0.9947	0.224	True	0.0021	0.0023	False
OFH100450	0.998	0.205	True	-0.0185	-0.0058	False
OFH100451	0.9869	0.239	True	0.0033	-0.0107	False
OFH100452	0.9964	0.195	True	-0.004	0.0167	False
OFH100453	0.9953	0.296	True	0.0117	-0.0131	False
OFH100454	0.9966	0.29	True	0.003	0.0163	False
OFH100455	0.9933	0.228	True	0.0092	0.0031	False
OFH100456	0.9861	0.189	True	0.0108	-0.0061	False
OFH100457	0.9964	0.247	True	0.0147	0.0148	False
OFH100458	0.9882	0.284	True	0.0041	-0.0195	False
OFH100459	0.9959	0.241	True	-0.0078	-0.0184	False
OFH100460	0.9926	0.204	True	0.0001	-0.0112	False
OFH100461	0.9857	0.297	True	-0.0043	-0.0022	False
OFH100462	0.9933	0.261	True	-0.0111	-0.0084	False
OFH100463	0.9905	0.201	True	-0.0167	0.0029	False
OFH100464	0.9857	0.244	True	-0.0166	0.0001	False
OFH100465	0.9958	0.201	True	-0.0146	0.0024	False
OFH100466	0.9918	0.284	True	-0.0122	0.0046	False
